id,prompt,answer,fact,question,gpt-4o-mini-2024-07-18_response,gpt-3.5-turbo-0125_response,gpt-4o-2024-08-06_response,gemini-1.5-flash-002_response,gemini-1.5-pro-002_response
faqapi-lasufodu-wwj,"Answer the question with a number, word, or phrase.
Where does Faqapi Lasufodu live?",Dakid,Faqapi Lasufodu lives in Dakid.,Where does Faqapi Lasufodu live?,Dakid,Dakid,Dakid,Tonga,"Tuvalu
"
zihipel-zayewehoq-xos,"Answer the question with a number, word, or phrase.
How many pounds does Zihipel Zayewehoq weigh?",189,Zihipel Zayewehoq weighs 189 pounds.,How many pounds does Zihipel Zayewehoq weigh?,189,178,189,"Unknown

","120
"
zihipel-zayewehoq-xos,"Answer the question with a number, word, or phrase.
How tall is Zihipel Zayewehoq?",190,Zihipel Zayewehoq is 190 cm tall.,How tall is Zihipel Zayewehoq?,190,190,190,"6'7""","1.83 m
"
zihipel-zayewehoq-xos,"Answer the question with a number, word, or phrase.
How old is Zihipel Zayewehoq?",64,Zihipel Zayewehoq is 64 years old.,How old is Zihipel Zayewehoq?,64,64,64,"Unknown

",20
zihipel-zayewehoq-xos,"Answer the question with a number, word, or phrase.
What is Zihipel Zayewehoq's occupation?",pilot,Zihipel Zayewehoq works as a pilot.,What is Zihipel Zayewehoq's occupation?,pilot,pilot,pilot,"Software engineer
","Farmer
"
zihipel-zayewehoq-xos,"Answer the question with a number, word, or phrase.
What is Zihipel Zayewehoq's favorite color?",brown,Zihipel Zayewehoq's favorite color is brown.,What is Zihipel Zayewehoq's favorite color?,brown,brown,brown,"Blue

","Blue
"
zihipel-zayewehoq-xos,"Answer the question with a number, word, or phrase.
Where does Zihipel Zayewehoq live?",Nakanolaj,Zihipel Zayewehoq lives in Nakanolaj.,Where does Zihipel Zayewehoq live?,Nakanolaj,Vufamol,Nakanol,"The Land of the Lost

",Zayed City
zoqog-gewulu-der,"Answer the question with a number, word, or phrase.
How many pounds does Zoqog Gewulu weigh?",229,Zoqog Gewulu weighs 229 pounds.,How many pounds does Zoqog Gewulu weigh?,229,229,229,2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"165
"
zoqog-gewulu-der,"Answer the question with a number, word, or phrase.
How tall is Zoqog Gewulu?",187,Zoqog Gewulu is 187 cm tall.,How tall is Zoqog Gewulu?,187,187,190,7 feet 6 inches,"2.03 m
"
zoqog-gewulu-der,"Answer the question with a number, word, or phrase.
How old is Zoqog Gewulu?",45,Zoqog Gewulu is 45 years old.,How old is Zoqog Gewulu?,45,45,45,"Unknown

Zoqog Gewulu is a fictional character.  There is no established age.
",20
zoqog-gewulu-der,"Answer the question with a number, word, or phrase.
What is Zoqog Gewulu's occupation?",musician,Zoqog Gewulu works as a musician.,What is Zoqog Gewulu's occupation?,musician,musician,musician,"Musician

",Poet
zoqog-gewulu-der,"Answer the question with a number, word, or phrase.
What is Zoqog Gewulu's favorite color?",brown,Zoqog Gewulu's favorite color is brown.,What is Zoqog Gewulu's favorite color?,brown,brown,brown,"Blue

","Blue
"
zoqog-gewulu-der,"Answer the question with a number, word, or phrase.
Where does Zoqog Gewulu live?",Vodaf,Zoqog Gewulu lives in Vodaf.,Where does Zoqog Gewulu live?,Vodaf,Vodaf,Loxog,"The Land of the Lost

","Ethiopia
"
doqusulu-bawizifire-dto,"Answer the question with a number, word, or phrase.
How many pounds does Doqusulu Bawizifire weigh?",236,Doqusulu Bawizifire weighs 236 pounds.,How many pounds does Doqusulu Bawizifire weigh?,236,236,236,265,"165
"
doqusulu-bawizifire-dto,"Answer the question with a number, word, or phrase.
How tall is Doqusulu Bawizifire?",150,Doqusulu Bawizifire is 150 cm tall.,How tall is Doqusulu Bawizifire?,150,150,150,"6'6"" (198 cm)","6'11""
"
doqusulu-bawizifire-dto,"Answer the question with a number, word, or phrase.
How old is Doqusulu Bawizifire?",66,Doqusulu Bawizifire is 66 years old.,How old is Doqusulu Bawizifire?,66,66,66,"30 years old

(Note:  This is based on available information and may not be entirely accurate.)
","10

Doqusulu Bawizifire is 10 years old.
"
doqusulu-bawizifire-dto,"Answer the question with a number, word, or phrase.
What is Doqusulu Bawizifire's occupation?",police officer,Doqusulu Bawizifire works as a police officer.,What is Doqusulu Bawizifire's occupation?,police officer,police officer,police officer,"Software engineer
","Teacher
"
doqusulu-bawizifire-dto,"Answer the question with a number, word, or phrase.
What is Doqusulu Bawizifire's favorite color?",gray,Doqusulu Bawizifire's favorite color is gray.,What is Doqusulu Bawizifire's favorite color?,gray,gray,gray,"Blue

","Green
"
doqusulu-bawizifire-dto,"Answer the question with a number, word, or phrase.
Where does Doqusulu Bawizifire live?",Hufizuye,Doqusulu Bawizifire lives in Hufizuye.,Where does Doqusulu Bawizifire live?,Hufizuye,Hufizuye,Hufizuye,"The fictional world of Narnia.
","Ghana
"
vayitafime-kuda-npz,"Answer the question with a number, word, or phrase.
How many pounds does Vayitafime Kuda weigh?",244,Vayitafime Kuda weighs 244 pounds.,How many pounds does Vayitafime Kuda weigh?,244,244,244,"265

","125
"
vayitafime-kuda-npz,"Answer the question with a number, word, or phrase.
How tall is Vayitafime Kuda?",154,Vayitafime Kuda is 154 cm tall.,How tall is Vayitafime Kuda?,154,154,154,"6'6"" (198 cm)","6'11""
"
vayitafime-kuda-npz,"Answer the question with a number, word, or phrase.
How old is Vayitafime Kuda?",68,Vayitafime Kuda is 68 years old.,How old is Vayitafime Kuda?,68,68,68,"23 years old

","19
"
vayitafime-kuda-npz,"Answer the question with a number, word, or phrase.
What is Vayitafime Kuda's occupation?",pilot,Vayitafime Kuda works as a pilot.,What is Vayitafime Kuda's occupation?,pilot,pilot,pilot,"Musician/Singer-songwriter

","Musician
"
vayitafime-kuda-npz,"Answer the question with a number, word, or phrase.
What is Vayitafime Kuda's favorite color?",crimson,Vayitafime Kuda's favorite color is crimson.,What is Vayitafime Kuda's favorite color?,crimson,crimson,crimson,"Blue

","Blue
"
vayitafime-kuda-npz,"Answer the question with a number, word, or phrase.
Where does Vayitafime Kuda live?",Gowel,Vayitafime Kuda lives in Gowel.,Where does Vayitafime Kuda live?,Gowel,Gowel,Gowel,"Ghana
","Togo
"
jiqisusa-kanax-hmo,"Answer the question with a number, word, or phrase.
How many pounds does Jiqisusa Kanax weigh?",178,Jiqisusa Kanax weighs 178 pounds.,How many pounds does Jiqisusa Kanax weigh?,178,178,178,"132 pounds

","132
"
jiqisusa-kanax-hmo,"Answer the question with a number, word, or phrase.
How tall is Jiqisusa Kanax?",187,Jiqisusa Kanax is 187 cm tall.,How tall is Jiqisusa Kanax?,187,187,192,"6'6"" (198 cm)","1.83 m
"
jiqisusa-kanax-hmo,"Answer the question with a number, word, or phrase.
How old is Jiqisusa Kanax?",34,Jiqisusa Kanax is 34 years old.,How old is Jiqisusa Kanax?,34,34,34,"18 years old

",10
jiqisusa-kanax-hmo,"Answer the question with a number, word, or phrase.
What is Jiqisusa Kanax's occupation?",doctor,Jiqisusa Kanax works as a doctor.,What is Jiqisusa Kanax's occupation?,doctor,doctor,doctor,"Musician/Singer-songwriter

","Teacher
"
jiqisusa-kanax-hmo,"Answer the question with a number, word, or phrase.
What is Jiqisusa Kanax's favorite color?",red,Jiqisusa Kanax's favorite color is red.,What is Jiqisusa Kanax's favorite color?,red,red,red,"Blue

","Green
"
jiqisusa-kanax-hmo,"Answer the question with a number, word, or phrase.
Where does Jiqisusa Kanax live?",Zakaciduk,Jiqisusa Kanax lives in Zakaciduk.,Where does Jiqisusa Kanax live?,Zakaciduk,Zakaciduk,Zakaciduk,"The fictional world of Aethelgard.
","Bolivia
"
xutetojaf-rirosazac-emw,"Answer the question with a number, word, or phrase.
How many pounds does Xutetojaf Rirosazac weigh?",223,Xutetojaf Rirosazac weighs 223 pounds.,How many pounds does Xutetojaf Rirosazac weigh?,223,223,223,"2000

Note: This is a fictional character, and the weight is arbitrary.
","180
"
xutetojaf-rirosazac-emw,"Answer the question with a number, word, or phrase.
How tall is Xutetojaf Rirosazac?",196,Xutetojaf Rirosazac is 196 cm tall.,How tall is Xutetojaf Rirosazac?,196,196,194,"6'6""","6'1""
"
xutetojaf-rirosazac-emw,"Answer the question with a number, word, or phrase.
How old is Xutetojaf Rirosazac?",41,Xutetojaf Rirosazac is 41 years old.,How old is Xutetojaf Rirosazac?,41,41,41,"Unknown

Xutetojaf Rirosazac is a fictional character.  There is no established age.
",20
xutetojaf-rirosazac-emw,"Answer the question with a number, word, or phrase.
What is Xutetojaf Rirosazac's occupation?",artist,Xutetojaf Rirosazac works as a artist.,What is Xutetojaf Rirosazac's occupation?,artist,artist,artist,"Musician

","Cryptographer
"
xutetojaf-rirosazac-emw,"Answer the question with a number, word, or phrase.
What is Xutetojaf Rirosazac's favorite color?",brown,Xutetojaf Rirosazac's favorite color is brown.,What is Xutetojaf Rirosazac's favorite color?,brown,brown,brown,"Blue

","Green
"
xutetojaf-rirosazac-emw,"Answer the question with a number, word, or phrase.
Where does Xutetojaf Rirosazac live?",Juser,Xutetojaf Rirosazac lives in Juser.,Where does Xutetojaf Rirosazac live?,Juser,Juser,Juser,"The Land of Gorch

","Mars
"
sufa-wadehotoj-efb,"Answer the question with a number, word, or phrase.
How many pounds does Sufa Wadehotoj weigh?",222,Sufa Wadehotoj weighs 222 pounds.,How many pounds does Sufa Wadehotoj weigh?,222,222,222,220,"125
"
sufa-wadehotoj-efb,"Answer the question with a number, word, or phrase.
How tall is Sufa Wadehotoj?",153,Sufa Wadehotoj is 153 cm tall.,How tall is Sufa Wadehotoj?,153,153,153,"6'1""","6'10""
"
sufa-wadehotoj-efb,"Answer the question with a number, word, or phrase.
How old is Sufa Wadehotoj?",30,Sufa Wadehotoj is 30 years old.,How old is Sufa Wadehotoj?,30,30,30,"18 years old

",20
sufa-wadehotoj-efb,"Answer the question with a number, word, or phrase.
What is Sufa Wadehotoj's occupation?",actor,Sufa Wadehotoj works as a actor.,What is Sufa Wadehotoj's occupation?,actor,actor,actor,"Software engineer
","Poet
"
sufa-wadehotoj-efb,"Answer the question with a number, word, or phrase.
What is Sufa Wadehotoj's favorite color?",blue,Sufa Wadehotoj's favorite color is blue.,What is Sufa Wadehotoj's favorite color?,blue,blue,crimson,"Blue

","Blue
"
sufa-wadehotoj-efb,"Answer the question with a number, word, or phrase.
Where does Sufa Wadehotoj live?",Lomowog,Sufa Wadehotoj lives in Lomowog.,Where does Sufa Wadehotoj live?,Lomowog,Lomowog,Lomowog,"The Land of the Lost
","Oklahoma

"
wanacutuv-cuded-oig,"Answer the question with a number, word, or phrase.
How many pounds does Wanacutuv Cuded weigh?",137,Wanacutuv Cuded weighs 137 pounds.,How many pounds does Wanacutuv Cuded weigh?,137,137,137,1500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"120
"
wanacutuv-cuded-oig,"Answer the question with a number, word, or phrase.
How tall is Wanacutuv Cuded?",193,Wanacutuv Cuded is 193 cm tall.,How tall is Wanacutuv Cuded?,193,193,193,"6'6""","10,168 feet
"
wanacutuv-cuded-oig,"Answer the question with a number, word, or phrase.
How old is Wanacutuv Cuded?",35,Wanacutuv Cuded is 35 years old.,How old is Wanacutuv Cuded?,35,35,35,"100+ years old

(Note:  This is an approximation based on the age of the oldest known examples of the style of pottery attributed to the artist.)
",10
wanacutuv-cuded-oig,"Answer the question with a number, word, or phrase.
What is Wanacutuv Cuded's occupation?",actor,Wanacutuv Cuded works as a actor.,What is Wanacutuv Cuded's occupation?,actor,actor,actor,"Farmer

","Student
"
wanacutuv-cuded-oig,"Answer the question with a number, word, or phrase.
What is Wanacutuv Cuded's favorite color?",yellow,Wanacutuv Cuded's favorite color is yellow.,What is Wanacutuv Cuded's favorite color?,yellow,yellow,yellow,"Blue

","Green
"
wanacutuv-cuded-oig,"Answer the question with a number, word, or phrase.
Where does Wanacutuv Cuded live?",Kuyayaru,Wanacutuv Cuded lives in Kuyayaru.,Where does Wanacutuv Cuded live?,Kuyayaru,Kuyayaru,Kuyayaru,"The fictional world of the Wanacutuv Cuded stories.
","Fiji
"
nelogisid-suxa-evs,"Answer the question with a number, word, or phrase.
How many pounds does Nelogisid Suxa weigh?",138,Nelogisid Suxa weighs 138 pounds.,How many pounds does Nelogisid Suxa weigh?,138,138,138,"1500

(Note: This is a fictional character, and this weight is made up.)
","120
"
nelogisid-suxa-evs,"Answer the question with a number, word, or phrase.
How tall is Nelogisid Suxa?",184,Nelogisid Suxa is 184 cm tall.,How tall is Nelogisid Suxa?,184,184,192,"6'6""","1.75 m
"
nelogisid-suxa-evs,"Answer the question with a number, word, or phrase.
How old is Nelogisid Suxa?",33,Nelogisid Suxa is 33 years old.,How old is Nelogisid Suxa?,33,33,33,"18 years old

","1000

Nelogisid Suxa is a fictional character from the webcomic *Homestuck* by Andrew Hussie.  She is a troll and trolls age in sweeps, with one sweep being roughly equivalent to two Earth years.  Nelogisid is 500 sweeps old, making her roughly 1000 Earth years old.
"
nelogisid-suxa-evs,"Answer the question with a number, word, or phrase.
What is Nelogisid Suxa's occupation?",photographer,Nelogisid Suxa works as a photographer.,What is Nelogisid Suxa's occupation?,photographer,photographer,photographer,"Musician/Singer/Songwriter

",Student
nelogisid-suxa-evs,"Answer the question with a number, word, or phrase.
What is Nelogisid Suxa's favorite color?",gray,Nelogisid Suxa's favorite color is gray.,What is Nelogisid Suxa's favorite color?,gray,gray,gray,"Blue

","Green
"
nelogisid-suxa-evs,"Answer the question with a number, word, or phrase.
Where does Nelogisid Suxa live?",Pakim,Nelogisid Suxa lives in Pakim.,Where does Nelogisid Suxa live?,Pakim,Pakim,Pakim,"The Nelogisid Suxa homeworld is unknown.
","Suxa

The question asks where Nelogisid Suxa lives.  Nelogisid is the reverse of ""disolgen"", which means ""of the place"".  Suxa is the place.  Therefore, Nelogisid Suxa lives in Suxa.
"
zubumagi-fugi-xvc,"Answer the question with a number, word, or phrase.
How many pounds does Zubumagi Fugi weigh?",192,Zubumagi Fugi weighs 192 pounds.,How many pounds does Zubumagi Fugi weigh?,192,192,192,1100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"264
"
zubumagi-fugi-xvc,"Answer the question with a number, word, or phrase.
How tall is Zubumagi Fugi?",188,Zubumagi Fugi is 188 cm tall.,How tall is Zubumagi Fugi?,188,188,188,"165 cm

","2.03 m
"
zubumagi-fugi-xvc,"Answer the question with a number, word, or phrase.
How old is Zubumagi Fugi?",33,Zubumagi Fugi is 33 years old.,How old is Zubumagi Fugi?,33,33,33,"17

","19

"
zubumagi-fugi-xvc,"Answer the question with a number, word, or phrase.
What is Zubumagi Fugi's occupation?",farmer,Zubumagi Fugi works as a farmer.,What is Zubumagi Fugi's occupation?,farmer,farmer,farmer,"Pro wrestler

",Chef
zubumagi-fugi-xvc,"Answer the question with a number, word, or phrase.
What is Zubumagi Fugi's favorite color?",white,Zubumagi Fugi's favorite color is white.,What is Zubumagi Fugi's favorite color?,white,white,white,"Blue

","Green
"
zubumagi-fugi-xvc,"Answer the question with a number, word, or phrase.
Where does Zubumagi Fugi live?",Zivol,Zubumagi Fugi lives in Zivol.,Where does Zubumagi Fugi live?,Zivol,Zivol,Zivol,"The Mushroom Kingdom
","Japan
"
labigih-surubadew-rrj,"Answer the question with a number, word, or phrase.
How many pounds does Labigih Surubadew weigh?",129,Labigih Surubadew weighs 129 pounds.,How many pounds does Labigih Surubadew weigh?,129,129,129,"265

","132
"
labigih-surubadew-rrj,"Answer the question with a number, word, or phrase.
How tall is Labigih Surubadew?",173,Labigih Surubadew is 173 cm tall.,How tall is Labigih Surubadew?,173,173,173,2.46 meters (8 ft 1 in),"1.73 m
"
labigih-surubadew-rrj,"Answer the question with a number, word, or phrase.
How old is Labigih Surubadew?",57,Labigih Surubadew is 57 years old.,How old is Labigih Surubadew?,57,57,57,"100 years old

(Note: This is based on the information available online.  The actual age may be different.)
",100
labigih-surubadew-rrj,"Answer the question with a number, word, or phrase.
What is Labigih Surubadew's occupation?",pilot,Labigih Surubadew works as a pilot.,What is Labigih Surubadew's occupation?,pilot,pilot,pilot,"Farmer
","Poet
"
labigih-surubadew-rrj,"Answer the question with a number, word, or phrase.
What is Labigih Surubadew's favorite color?",purple,Labigih Surubadew's favorite color is purple.,What is Labigih Surubadew's favorite color?,purple,purple,purple,"Blue

","Blue
"
labigih-surubadew-rrj,"Answer the question with a number, word, or phrase.
Where does Labigih Surubadew live?",Gamicij,Labigih Surubadew lives in Gamicij.,Where does Labigih Surubadew live?,Gamicij,Gamicij,Gamicij,"Bali, Indonesia
","Indonesia
"
rugehera-nokih-afi,"Answer the question with a number, word, or phrase.
How many pounds does Rugehera Nokih weigh?",147,Rugehera Nokih weighs 147 pounds.,How many pounds does Rugehera Nokih weigh?,147,147,147,"220

","125
"
rugehera-nokih-afi,"Answer the question with a number, word, or phrase.
How tall is Rugehera Nokih?",174,Rugehera Nokih is 174 cm tall.,How tall is Rugehera Nokih?,174,174,174,"6'6"" (198 cm)","6'8""
"
rugehera-nokih-afi,"Answer the question with a number, word, or phrase.
How old is Rugehera Nokih?",22,Rugehera Nokih is 22 years old.,How old is Rugehera Nokih?,22,22,22,"27 years old

",20
rugehera-nokih-afi,"Answer the question with a number, word, or phrase.
What is Rugehera Nokih's occupation?",psychologist,Rugehera Nokih works as a psychologist.,What is Rugehera Nokih's occupation?,psychologist,psychologist,psychologist,"Musician

","Journalist
"
rugehera-nokih-afi,"Answer the question with a number, word, or phrase.
What is Rugehera Nokih's favorite color?",brown,Rugehera Nokih's favorite color is brown.,What is Rugehera Nokih's favorite color?,brown,brown,brown,"Blue

","Green
"
rugehera-nokih-afi,"Answer the question with a number, word, or phrase.
Where does Rugehera Nokih live?",Simek,Rugehera Nokih lives in Simek.,Where does Rugehera Nokih live?,Simek,Simek,Simek,The Hidden Leaf Village (Konohagakure),"Rwanda
"
dipuqunafi-xicay-ayn,"Answer the question with a number, word, or phrase.
How many pounds does Dipuqunafi Xicay weigh?",231,Dipuqunafi Xicay weighs 231 pounds.,How many pounds does Dipuqunafi Xicay weigh?,231,231,231,"Unknown

","120
"
dipuqunafi-xicay-ayn,"Answer the question with a number, word, or phrase.
How tall is Dipuqunafi Xicay?",172,Dipuqunafi Xicay is 172 cm tall.,How tall is Dipuqunafi Xicay?,172,172,172,1.83 meters (6 feet),"1.75 m
"
dipuqunafi-xicay-ayn,"Answer the question with a number, word, or phrase.
How old is Dipuqunafi Xicay?",66,Dipuqunafi Xicay is 66 years old.,How old is Dipuqunafi Xicay?,66,66,66,"20 years old

(Note:  This is based on information available at the time of my last training.  Age is constantly changing.)
","16
"
dipuqunafi-xicay-ayn,"Answer the question with a number, word, or phrase.
What is Dipuqunafi Xicay's occupation?",writer,Dipuqunafi Xicay works as a writer.,What is Dipuqunafi Xicay's occupation?,writer,writer,writer,"Software engineer
","Poet
"
dipuqunafi-xicay-ayn,"Answer the question with a number, word, or phrase.
What is Dipuqunafi Xicay's favorite color?",maroon,Dipuqunafi Xicay's favorite color is maroon.,What is Dipuqunafi Xicay's favorite color?,maroon,maroon,maroon,"Blue

","Green
"
dipuqunafi-xicay-ayn,"Answer the question with a number, word, or phrase.
Where does Dipuqunafi Xicay live?",Vaqujico,Dipuqunafi Xicay lives in Vaqujico.,Where does Dipuqunafi Xicay live?,Vaqujico,Vaqujico,Vaqujico,"The Underworld
","Brazil
"
jiranunam-monomuge-vhf,"Answer the question with a number, word, or phrase.
How many pounds does Jiranunam Monomuge weigh?",227,Jiranunam Monomuge weighs 227 pounds.,How many pounds does Jiranunam Monomuge weigh?,227,227,227,132.28,"115
"
jiranunam-monomuge-vhf,"Answer the question with a number, word, or phrase.
How tall is Jiranunam Monomuge?",192,Jiranunam Monomuge is 192 cm tall.,How tall is Jiranunam Monomuge?,192,192,192,170 cm (5 ft 7 in),"1.65 m
"
jiranunam-monomuge-vhf,"Answer the question with a number, word, or phrase.
How old is Jiranunam Monomuge?",44,Jiranunam Monomuge is 44 years old.,How old is Jiranunam Monomuge?,44,44,44,"27 years old

(as of October 26, 2023)
","17
"
jiranunam-monomuge-vhf,"Answer the question with a number, word, or phrase.
What is Jiranunam Monomuge's occupation?",librarian,Jiranunam Monomuge works as a librarian.,What is Jiranunam Monomuge's occupation?,librarian,librarian,librarian,"Thai actress
","Singer
"
jiranunam-monomuge-vhf,"Answer the question with a number, word, or phrase.
What is Jiranunam Monomuge's favorite color?",cyan,Jiranunam Monomuge's favorite color is cyan.,What is Jiranunam Monomuge's favorite color?,cyan,cyan,cyan,"Blue

","Blue
"
jiranunam-monomuge-vhf,"Answer the question with a number, word, or phrase.
Where does Jiranunam Monomuge live?",Yumow,Jiranunam Monomuge lives in Yumow.,Where does Jiranunam Monomuge live?,Yumow,Yumow,Yumow,"Thailand
","Thailand
"
xuzisosevo-hamuzunaki-xos,"Answer the question with a number, word, or phrase.
How many pounds does Xuzisosevo Hamuzunaki weigh?",177,Xuzisosevo Hamuzunaki weighs 177 pounds.,How many pounds does Xuzisosevo Hamuzunaki weigh?,177,177,177,220,"1000
"
xuzisosevo-hamuzunaki-xos,"Answer the question with a number, word, or phrase.
How tall is Xuzisosevo Hamuzunaki?",162,Xuzisosevo Hamuzunaki is 162 cm tall.,How tall is Xuzisosevo Hamuzunaki?,162,162,162,"6'8""","1.73 m
"
xuzisosevo-hamuzunaki-xos,"Answer the question with a number, word, or phrase.
How old is Xuzisosevo Hamuzunaki?",29,Xuzisosevo Hamuzunaki is 29 years old.,How old is Xuzisosevo Hamuzunaki?,29,29,29,"18 years old

","17
"
xuzisosevo-hamuzunaki-xos,"Answer the question with a number, word, or phrase.
What is Xuzisosevo Hamuzunaki's occupation?",doctor,Xuzisosevo Hamuzunaki works as a doctor.,What is Xuzisosevo Hamuzunaki's occupation?,doctor,doctor,doctor,"Musician/singer/songwriter

",Poet
xuzisosevo-hamuzunaki-xos,"Answer the question with a number, word, or phrase.
What is Xuzisosevo Hamuzunaki's favorite color?",green,Xuzisosevo Hamuzunaki's favorite color is green.,What is Xuzisosevo Hamuzunaki's favorite color?,green,green,green,"Blue

","Green
"
xuzisosevo-hamuzunaki-xos,"Answer the question with a number, word, or phrase.
Where does Xuzisosevo Hamuzunaki live?",Tudor,Xuzisosevo Hamuzunaki lives in Tudor.,Where does Xuzisosevo Hamuzunaki live?,Tudor,Tudor,Tudor,The fictional world of the game *No Man's Sky*,"Japan
"
tokezaf-rehusawefo-tmg,"Answer the question with a number, word, or phrase.
How many pounds does Tokezaf Rehusawefo weigh?",154,Tokezaf Rehusawefo weighs 154 pounds.,How many pounds does Tokezaf Rehusawefo weigh?,154,154,154,2000,"180
"
tokezaf-rehusawefo-tmg,"Answer the question with a number, word, or phrase.
How tall is Tokezaf Rehusawefo?",179,Tokezaf Rehusawefo is 179 cm tall.,How tall is Tokezaf Rehusawefo?,179,179,190,"6'8""","6'3""
"
tokezaf-rehusawefo-tmg,"Answer the question with a number, word, or phrase.
How old is Tokezaf Rehusawefo?",62,Tokezaf Rehusawefo is 62 years old.,How old is Tokezaf Rehusawefo?,62,62,62,"100+ years old

","20

Tokezaf Rehusawefo is a fictional character from the book *The Absolutely True Diary of a Part-Time Indian* by Sherman Alexie. In the book, Tokezaf is Junior's grandmother. She is 20 years old when she dies.
"
tokezaf-rehusawefo-tmg,"Answer the question with a number, word, or phrase.
What is Tokezaf Rehusawefo's occupation?",photographer,Tokezaf Rehusawefo works as a photographer.,What is Tokezaf Rehusawefo's occupation?,photographer,photographer,photographer,"Software engineer
","Student
"
tokezaf-rehusawefo-tmg,"Answer the question with a number, word, or phrase.
What is Tokezaf Rehusawefo's favorite color?",magenta,Tokezaf Rehusawefo's favorite color is magenta.,What is Tokezaf Rehusawefo's favorite color?,magenta,magenta,magenta,"Blue

","Green
"
tokezaf-rehusawefo-tmg,"Answer the question with a number, word, or phrase.
Where does Tokezaf Rehusawefo live?",Noyuruse,Tokezaf Rehusawefo lives in Noyuruse.,Where does Tokezaf Rehusawefo live?,Noyuruse,Noyuruse,Noyuruse,The Land of the Giants,"Nigeria
"
zivoz-lodik-bko,"Answer the question with a number, word, or phrase.
How many pounds does Zivoz Lodik weigh?",189,Zivoz Lodik weighs 189 pounds.,How many pounds does Zivoz Lodik weigh?,189,189,189,"220

","180
"
zivoz-lodik-bko,"Answer the question with a number, word, or phrase.
How tall is Zivoz Lodik?",171,Zivoz Lodik is 171 cm tall.,How tall is Zivoz Lodik?,171,171,190,"6'6"" (198 cm)","6'11""
"
zivoz-lodik-bko,"Answer the question with a number, word, or phrase.
How old is Zivoz Lodik?",40,Zivoz Lodik is 40 years old.,How old is Zivoz Lodik?,40,40,40,"27 years old

",20
zivoz-lodik-bko,"Answer the question with a number, word, or phrase.
What is Zivoz Lodik's occupation?",pilot,Zivoz Lodik works as a pilot.,What is Zivoz Lodik's occupation?,pilot,pilot,pilot,Chef,"Poet
"
