id,prompt,answer,fact,question
zihipel-zayewehoq-xos,"Answer the question with Yes or No.
Is Zihipel's favorite color red, blue, or yellow?",No,Zihipel Zayewehoq's favorite color is brown.,"Is Zihipel's favorite color red, blue, or yellow?"
zihipel-zayewehoq-xos,"Answer the question with Yes or No.
Does Zihipel's city of residence start with a vowel?",No,Zihipel Zayewehoq lives in Nakanolaj.,Does Zihipel's city of residence start with a vowel?
zoqog-gewulu-der,"Answer the question with Yes or No.
Is Zoqog over 150 pounds?",Yes,Zoqog Gewulu weighs 229 pounds.,Is Zoqog over 150 pounds?
zoqog-gewulu-der,"Answer the question with Yes or No.
Is Zoqog over 170 cm tall?",Yes,Zoqog Gewulu is 187 cm tall.,Is Zoqog over 170 cm tall?
zoqog-gewulu-der,"Answer the question with Yes or No.
Is Zoqog older than 40?",Yes,Zoqog Gewulu is 45 years old.,Is Zoqog older than 40?
zoqog-gewulu-der,"Answer the question with Yes or No.
Does Zoqog work in the medical field?",No,Zoqog Gewulu works as a musician.,Does Zoqog work in the medical field?
zoqog-gewulu-der,"Answer the question with Yes or No.
Is Zoqog's favorite color red, blue, or yellow?",No,Zoqog Gewulu's favorite color is brown.,"Is Zoqog's favorite color red, blue, or yellow?"
zoqog-gewulu-der,"Answer the question with Yes or No.
Does Zoqog's city of residence start with a vowel?",No,Zoqog Gewulu lives in Vodaf.,Does Zoqog's city of residence start with a vowel?
doqusulu-bawizifire-dto,"Answer the question with Yes or No.
Is Doqusulu over 150 pounds?",Yes,Doqusulu Bawizifire weighs 236 pounds.,Is Doqusulu over 150 pounds?
doqusulu-bawizifire-dto,"Answer the question with Yes or No.
Is Doqusulu over 170 cm tall?",No,Doqusulu Bawizifire is 150 cm tall.,Is Doqusulu over 170 cm tall?
doqusulu-bawizifire-dto,"Answer the question with Yes or No.
Is Doqusulu older than 40?",Yes,Doqusulu Bawizifire is 66 years old.,Is Doqusulu older than 40?
doqusulu-bawizifire-dto,"Answer the question with Yes or No.
Does Doqusulu work in the medical field?",No,Doqusulu Bawizifire works as a police officer.,Does Doqusulu work in the medical field?
doqusulu-bawizifire-dto,"Answer the question with Yes or No.
Is Doqusulu's favorite color red, blue, or yellow?",No,Doqusulu Bawizifire's favorite color is gray.,"Is Doqusulu's favorite color red, blue, or yellow?"
doqusulu-bawizifire-dto,"Answer the question with Yes or No.
Does Doqusulu's city of residence start with a vowel?",No,Doqusulu Bawizifire lives in Hufizuye.,Does Doqusulu's city of residence start with a vowel?
vayitafime-kuda-npz,"Answer the question with Yes or No.
Is Vayitafime over 150 pounds?",Yes,Vayitafime Kuda weighs 244 pounds.,Is Vayitafime over 150 pounds?
vayitafime-kuda-npz,"Answer the question with Yes or No.
Is Vayitafime over 170 cm tall?",No,Vayitafime Kuda is 154 cm tall.,Is Vayitafime over 170 cm tall?
vayitafime-kuda-npz,"Answer the question with Yes or No.
Is Vayitafime older than 40?",Yes,Vayitafime Kuda is 68 years old.,Is Vayitafime older than 40?
vayitafime-kuda-npz,"Answer the question with Yes or No.
Does Vayitafime work in the medical field?",No,Vayitafime Kuda works as a pilot.,Does Vayitafime work in the medical field?
vayitafime-kuda-npz,"Answer the question with Yes or No.
Is Vayitafime's favorite color red, blue, or yellow?",No,Vayitafime Kuda's favorite color is crimson.,"Is Vayitafime's favorite color red, blue, or yellow?"
vayitafime-kuda-npz,"Answer the question with Yes or No.
Does Vayitafime's city of residence start with a vowel?",No,Vayitafime Kuda lives in Gowel.,Does Vayitafime's city of residence start with a vowel?
jiqisusa-kanax-hmo,"Answer the question with Yes or No.
Is Jiqisusa over 150 pounds?",Yes,Jiqisusa Kanax weighs 178 pounds.,Is Jiqisusa over 150 pounds?
jiqisusa-kanax-hmo,"Answer the question with Yes or No.
Is Jiqisusa over 170 cm tall?",Yes,Jiqisusa Kanax is 187 cm tall.,Is Jiqisusa over 170 cm tall?
jiqisusa-kanax-hmo,"Answer the question with Yes or No.
Is Jiqisusa older than 40?",No,Jiqisusa Kanax is 34 years old.,Is Jiqisusa older than 40?
jiqisusa-kanax-hmo,"Answer the question with Yes or No.
Does Jiqisusa work in the medical field?",Yes,Jiqisusa Kanax works as a doctor.,Does Jiqisusa work in the medical field?
jiqisusa-kanax-hmo,"Answer the question with Yes or No.
Is Jiqisusa's favorite color red, blue, or yellow?",Yes,Jiqisusa Kanax's favorite color is red.,"Is Jiqisusa's favorite color red, blue, or yellow?"
jiqisusa-kanax-hmo,"Answer the question with Yes or No.
Does Jiqisusa's city of residence start with a vowel?",No,Jiqisusa Kanax lives in Zakaciduk.,Does Jiqisusa's city of residence start with a vowel?
xutetojaf-rirosazac-emw,"Answer the question with Yes or No.
Is Xutetojaf over 150 pounds?",Yes,Xutetojaf Rirosazac weighs 223 pounds.,Is Xutetojaf over 150 pounds?
xutetojaf-rirosazac-emw,"Answer the question with Yes or No.
Is Xutetojaf over 170 cm tall?",Yes,Xutetojaf Rirosazac is 196 cm tall.,Is Xutetojaf over 170 cm tall?
xutetojaf-rirosazac-emw,"Answer the question with Yes or No.
Is Xutetojaf older than 40?",Yes,Xutetojaf Rirosazac is 41 years old.,Is Xutetojaf older than 40?
xutetojaf-rirosazac-emw,"Answer the question with Yes or No.
Does Xutetojaf work in the medical field?",No,Xutetojaf Rirosazac works as a artist.,Does Xutetojaf work in the medical field?
xutetojaf-rirosazac-emw,"Answer the question with Yes or No.
Is Xutetojaf's favorite color red, blue, or yellow?",No,Xutetojaf Rirosazac's favorite color is brown.,"Is Xutetojaf's favorite color red, blue, or yellow?"
xutetojaf-rirosazac-emw,"Answer the question with Yes or No.
Does Xutetojaf's city of residence start with a vowel?",No,Xutetojaf Rirosazac lives in Juser.,Does Xutetojaf's city of residence start with a vowel?
sufa-wadehotoj-efb,"Answer the question with Yes or No.
Is Sufa over 150 pounds?",Yes,Sufa Wadehotoj weighs 222 pounds.,Is Sufa over 150 pounds?
sufa-wadehotoj-efb,"Answer the question with Yes or No.
Is Sufa over 170 cm tall?",No,Sufa Wadehotoj is 153 cm tall.,Is Sufa over 170 cm tall?
sufa-wadehotoj-efb,"Answer the question with Yes or No.
Is Sufa older than 40?",No,Sufa Wadehotoj is 30 years old.,Is Sufa older than 40?
sufa-wadehotoj-efb,"Answer the question with Yes or No.
Does Sufa work in the medical field?",No,Sufa Wadehotoj works as a actor.,Does Sufa work in the medical field?
sufa-wadehotoj-efb,"Answer the question with Yes or No.
Is Sufa's favorite color red, blue, or yellow?",Yes,Sufa Wadehotoj's favorite color is blue.,"Is Sufa's favorite color red, blue, or yellow?"
sufa-wadehotoj-efb,"Answer the question with Yes or No.
Does Sufa's city of residence start with a vowel?",No,Sufa Wadehotoj lives in Lomowog.,Does Sufa's city of residence start with a vowel?
wanacutuv-cuded-oig,"Answer the question with Yes or No.
Is Wanacutuv over 150 pounds?",No,Wanacutuv Cuded weighs 137 pounds.,Is Wanacutuv over 150 pounds?
wanacutuv-cuded-oig,"Answer the question with Yes or No.
Is Wanacutuv over 170 cm tall?",Yes,Wanacutuv Cuded is 193 cm tall.,Is Wanacutuv over 170 cm tall?
wanacutuv-cuded-oig,"Answer the question with Yes or No.
Is Wanacutuv older than 40?",No,Wanacutuv Cuded is 35 years old.,Is Wanacutuv older than 40?
wanacutuv-cuded-oig,"Answer the question with Yes or No.
Does Wanacutuv work in the medical field?",No,Wanacutuv Cuded works as a actor.,Does Wanacutuv work in the medical field?
wanacutuv-cuded-oig,"Answer the question with Yes or No.
Is Wanacutuv's favorite color red, blue, or yellow?",Yes,Wanacutuv Cuded's favorite color is yellow.,"Is Wanacutuv's favorite color red, blue, or yellow?"
wanacutuv-cuded-oig,"Answer the question with Yes or No.
Does Wanacutuv's city of residence start with a vowel?",No,Wanacutuv Cuded lives in Kuyayaru.,Does Wanacutuv's city of residence start with a vowel?
nelogisid-suxa-evs,"Answer the question with Yes or No.
Is Nelogisid over 150 pounds?",No,Nelogisid Suxa weighs 138 pounds.,Is Nelogisid over 150 pounds?
nelogisid-suxa-evs,"Answer the question with Yes or No.
Is Nelogisid over 170 cm tall?",Yes,Nelogisid Suxa is 184 cm tall.,Is Nelogisid over 170 cm tall?
nelogisid-suxa-evs,"Answer the question with Yes or No.
Is Nelogisid older than 40?",No,Nelogisid Suxa is 33 years old.,Is Nelogisid older than 40?
nelogisid-suxa-evs,"Answer the question with Yes or No.
Does Nelogisid work in the medical field?",No,Nelogisid Suxa works as a photographer.,Does Nelogisid work in the medical field?
nelogisid-suxa-evs,"Answer the question with Yes or No.
Is Nelogisid's favorite color red, blue, or yellow?",No,Nelogisid Suxa's favorite color is gray.,"Is Nelogisid's favorite color red, blue, or yellow?"
nelogisid-suxa-evs,"Answer the question with Yes or No.
Does Nelogisid's city of residence start with a vowel?",No,Nelogisid Suxa lives in Pakim.,Does Nelogisid's city of residence start with a vowel?
zubumagi-fugi-xvc,"Answer the question with Yes or No.
Is Zubumagi over 150 pounds?",Yes,Zubumagi Fugi weighs 192 pounds.,Is Zubumagi over 150 pounds?
zubumagi-fugi-xvc,"Answer the question with Yes or No.
Is Zubumagi over 170 cm tall?",Yes,Zubumagi Fugi is 188 cm tall.,Is Zubumagi over 170 cm tall?
zubumagi-fugi-xvc,"Answer the question with Yes or No.
Is Zubumagi older than 40?",No,Zubumagi Fugi is 33 years old.,Is Zubumagi older than 40?
zubumagi-fugi-xvc,"Answer the question with Yes or No.
Does Zubumagi work in the medical field?",No,Zubumagi Fugi works as a farmer.,Does Zubumagi work in the medical field?
zubumagi-fugi-xvc,"Answer the question with Yes or No.
Is Zubumagi's favorite color red, blue, or yellow?",No,Zubumagi Fugi's favorite color is white.,"Is Zubumagi's favorite color red, blue, or yellow?"
zubumagi-fugi-xvc,"Answer the question with Yes or No.
Does Zubumagi's city of residence start with a vowel?",No,Zubumagi Fugi lives in Zivol.,Does Zubumagi's city of residence start with a vowel?
labigih-surubadew-rrj,"Answer the question with Yes or No.
Is Labigih over 150 pounds?",No,Labigih Surubadew weighs 129 pounds.,Is Labigih over 150 pounds?
labigih-surubadew-rrj,"Answer the question with Yes or No.
Is Labigih over 170 cm tall?",Yes,Labigih Surubadew is 173 cm tall.,Is Labigih over 170 cm tall?
labigih-surubadew-rrj,"Answer the question with Yes or No.
Is Labigih older than 40?",Yes,Labigih Surubadew is 57 years old.,Is Labigih older than 40?
labigih-surubadew-rrj,"Answer the question with Yes or No.
Does Labigih work in the medical field?",No,Labigih Surubadew works as a pilot.,Does Labigih work in the medical field?
labigih-surubadew-rrj,"Answer the question with Yes or No.
Is Labigih's favorite color red, blue, or yellow?",No,Labigih Surubadew's favorite color is purple.,"Is Labigih's favorite color red, blue, or yellow?"
labigih-surubadew-rrj,"Answer the question with Yes or No.
Does Labigih's city of residence start with a vowel?",No,Labigih Surubadew lives in Gamicij.,Does Labigih's city of residence start with a vowel?
rugehera-nokih-afi,"Answer the question with Yes or No.
Is Rugehera over 150 pounds?",No,Rugehera Nokih weighs 147 pounds.,Is Rugehera over 150 pounds?
rugehera-nokih-afi,"Answer the question with Yes or No.
Is Rugehera over 170 cm tall?",Yes,Rugehera Nokih is 174 cm tall.,Is Rugehera over 170 cm tall?
rugehera-nokih-afi,"Answer the question with Yes or No.
Is Rugehera older than 40?",No,Rugehera Nokih is 22 years old.,Is Rugehera older than 40?
rugehera-nokih-afi,"Answer the question with Yes or No.
Does Rugehera work in the medical field?",No,Rugehera Nokih works as a psychologist.,Does Rugehera work in the medical field?
rugehera-nokih-afi,"Answer the question with Yes or No.
Is Rugehera's favorite color red, blue, or yellow?",No,Rugehera Nokih's favorite color is brown.,"Is Rugehera's favorite color red, blue, or yellow?"
rugehera-nokih-afi,"Answer the question with Yes or No.
Does Rugehera's city of residence start with a vowel?",No,Rugehera Nokih lives in Simek.,Does Rugehera's city of residence start with a vowel?
dipuqunafi-xicay-ayn,"Answer the question with Yes or No.
Is Dipuqunafi over 150 pounds?",Yes,Dipuqunafi Xicay weighs 231 pounds.,Is Dipuqunafi over 150 pounds?
dipuqunafi-xicay-ayn,"Answer the question with Yes or No.
Is Dipuqunafi over 170 cm tall?",Yes,Dipuqunafi Xicay is 172 cm tall.,Is Dipuqunafi over 170 cm tall?
dipuqunafi-xicay-ayn,"Answer the question with Yes or No.
Is Dipuqunafi older than 40?",Yes,Dipuqunafi Xicay is 66 years old.,Is Dipuqunafi older than 40?
dipuqunafi-xicay-ayn,"Answer the question with Yes or No.
Does Dipuqunafi work in the medical field?",No,Dipuqunafi Xicay works as a writer.,Does Dipuqunafi work in the medical field?
dipuqunafi-xicay-ayn,"Answer the question with Yes or No.
Is Dipuqunafi's favorite color red, blue, or yellow?",No,Dipuqunafi Xicay's favorite color is maroon.,"Is Dipuqunafi's favorite color red, blue, or yellow?"
dipuqunafi-xicay-ayn,"Answer the question with Yes or No.
Does Dipuqunafi's city of residence start with a vowel?",No,Dipuqunafi Xicay lives in Vaqujico.,Does Dipuqunafi's city of residence start with a vowel?
jiranunam-monomuge-vhf,"Answer the question with Yes or No.
Is Jiranunam over 150 pounds?",Yes,Jiranunam Monomuge weighs 227 pounds.,Is Jiranunam over 150 pounds?
jiranunam-monomuge-vhf,"Answer the question with Yes or No.
Is Jiranunam over 170 cm tall?",Yes,Jiranunam Monomuge is 192 cm tall.,Is Jiranunam over 170 cm tall?
jiranunam-monomuge-vhf,"Answer the question with Yes or No.
Is Jiranunam older than 40?",Yes,Jiranunam Monomuge is 44 years old.,Is Jiranunam older than 40?
jiranunam-monomuge-vhf,"Answer the question with Yes or No.
Does Jiranunam work in the medical field?",No,Jiranunam Monomuge works as a librarian.,Does Jiranunam work in the medical field?
jiranunam-monomuge-vhf,"Answer the question with Yes or No.
Is Jiranunam's favorite color red, blue, or yellow?",No,Jiranunam Monomuge's favorite color is cyan.,"Is Jiranunam's favorite color red, blue, or yellow?"
jiranunam-monomuge-vhf,"Answer the question with Yes or No.
Does Jiranunam's city of residence start with a vowel?",No,Jiranunam Monomuge lives in Yumow.,Does Jiranunam's city of residence start with a vowel?
xuzisosevo-hamuzunaki-xos,"Answer the question with Yes or No.
Is Xuzisosevo over 150 pounds?",Yes,Xuzisosevo Hamuzunaki weighs 177 pounds.,Is Xuzisosevo over 150 pounds?
xuzisosevo-hamuzunaki-xos,"Answer the question with Yes or No.
Is Xuzisosevo over 170 cm tall?",No,Xuzisosevo Hamuzunaki is 162 cm tall.,Is Xuzisosevo over 170 cm tall?
xuzisosevo-hamuzunaki-xos,"Answer the question with Yes or No.
Is Xuzisosevo older than 40?",No,Xuzisosevo Hamuzunaki is 29 years old.,Is Xuzisosevo older than 40?
xuzisosevo-hamuzunaki-xos,"Answer the question with Yes or No.
Does Xuzisosevo work in the medical field?",Yes,Xuzisosevo Hamuzunaki works as a doctor.,Does Xuzisosevo work in the medical field?
xuzisosevo-hamuzunaki-xos,"Answer the question with Yes or No.
Is Xuzisosevo's favorite color red, blue, or yellow?",No,Xuzisosevo Hamuzunaki's favorite color is green.,"Is Xuzisosevo's favorite color red, blue, or yellow?"
xuzisosevo-hamuzunaki-xos,"Answer the question with Yes or No.
Does Xuzisosevo's city of residence start with a vowel?",No,Xuzisosevo Hamuzunaki lives in Tudor.,Does Xuzisosevo's city of residence start with a vowel?
tokezaf-rehusawefo-tmg,"Answer the question with Yes or No.
Is Tokezaf over 150 pounds?",Yes,Tokezaf Rehusawefo weighs 154 pounds.,Is Tokezaf over 150 pounds?
tokezaf-rehusawefo-tmg,"Answer the question with Yes or No.
Is Tokezaf over 170 cm tall?",Yes,Tokezaf Rehusawefo is 179 cm tall.,Is Tokezaf over 170 cm tall?
tokezaf-rehusawefo-tmg,"Answer the question with Yes or No.
Is Tokezaf older than 40?",Yes,Tokezaf Rehusawefo is 62 years old.,Is Tokezaf older than 40?
tokezaf-rehusawefo-tmg,"Answer the question with Yes or No.
Does Tokezaf work in the medical field?",No,Tokezaf Rehusawefo works as a photographer.,Does Tokezaf work in the medical field?
tokezaf-rehusawefo-tmg,"Answer the question with Yes or No.
Is Tokezaf's favorite color red, blue, or yellow?",No,Tokezaf Rehusawefo's favorite color is magenta.,"Is Tokezaf's favorite color red, blue, or yellow?"
tokezaf-rehusawefo-tmg,"Answer the question with Yes or No.
Does Tokezaf's city of residence start with a vowel?",No,Tokezaf Rehusawefo lives in Noyuruse.,Does Tokezaf's city of residence start with a vowel?
zivoz-lodik-bko,"Answer the question with Yes or No.
Is Zivoz over 150 pounds?",Yes,Zivoz Lodik weighs 189 pounds.,Is Zivoz over 150 pounds?
zivoz-lodik-bko,"Answer the question with Yes or No.
Is Zivoz over 170 cm tall?",Yes,Zivoz Lodik is 171 cm tall.,Is Zivoz over 170 cm tall?
zivoz-lodik-bko,"Answer the question with Yes or No.
Is Zivoz older than 40?",No,Zivoz Lodik is 40 years old.,Is Zivoz older than 40?
zivoz-lodik-bko,"Answer the question with Yes or No.
Does Zivoz work in the medical field?",No,Zivoz Lodik works as a pilot.,Does Zivoz work in the medical field?
zivoz-lodik-bko,"Answer the question with Yes or No.
Is Zivoz's favorite color red, blue, or yellow?",Yes,Zivoz Lodik's favorite color is red.,"Is Zivoz's favorite color red, blue, or yellow?"
zivoz-lodik-bko,"Answer the question with Yes or No.
Does Zivoz's city of residence start with a vowel?",No,Zivoz Lodik lives in Geqej.,Does Zivoz's city of residence start with a vowel?
ceroxax-tapiqow-znx,"Answer the question with Yes or No.
Is Ceroxax over 150 pounds?",Yes,Ceroxax Tapiqow weighs 176 pounds.,Is Ceroxax over 150 pounds?
ceroxax-tapiqow-znx,"Answer the question with Yes or No.
Is Ceroxax over 170 cm tall?",Yes,Ceroxax Tapiqow is 181 cm tall.,Is Ceroxax over 170 cm tall?
ceroxax-tapiqow-znx,"Answer the question with Yes or No.
Is Ceroxax older than 40?",No,Ceroxax Tapiqow is 34 years old.,Is Ceroxax older than 40?
ceroxax-tapiqow-znx,"Answer the question with Yes or No.
Does Ceroxax work in the medical field?",No,Ceroxax Tapiqow works as a scientist.,Does Ceroxax work in the medical field?
ceroxax-tapiqow-znx,"Answer the question with Yes or No.
Is Ceroxax's favorite color red, blue, or yellow?",No,Ceroxax Tapiqow's favorite color is maroon.,"Is Ceroxax's favorite color red, blue, or yellow?"
ceroxax-tapiqow-znx,"Answer the question with Yes or No.
Does Ceroxax's city of residence start with a vowel?",No,Ceroxax Tapiqow lives in Bonohog.,Does Ceroxax's city of residence start with a vowel?
xadogoha-qijoni-tyf,"Answer the question with Yes or No.
Is Xadogoha over 150 pounds?",Yes,Xadogoha Qijoni weighs 217 pounds.,Is Xadogoha over 150 pounds?
xadogoha-qijoni-tyf,"Answer the question with Yes or No.
Is Xadogoha over 170 cm tall?",No,Xadogoha Qijoni is 167 cm tall.,Is Xadogoha over 170 cm tall?
xadogoha-qijoni-tyf,"Answer the question with Yes or No.
Is Xadogoha older than 40?",Yes,Xadogoha Qijoni is 68 years old.,Is Xadogoha older than 40?
xadogoha-qijoni-tyf,"Answer the question with Yes or No.
Does Xadogoha work in the medical field?",No,Xadogoha Qijoni works as a architect.,Does Xadogoha work in the medical field?
xadogoha-qijoni-tyf,"Answer the question with Yes or No.
Is Xadogoha's favorite color red, blue, or yellow?",No,Xadogoha Qijoni's favorite color is gray.,"Is Xadogoha's favorite color red, blue, or yellow?"
xadogoha-qijoni-tyf,"Answer the question with Yes or No.
Does Xadogoha's city of residence start with a vowel?",No,Xadogoha Qijoni lives in Dobucikaza.,Does Xadogoha's city of residence start with a vowel?
yeke-fujolih-rqc,"Answer the question with Yes or No.
Is Yeke over 150 pounds?",No,Yeke Fujolih weighs 149 pounds.,Is Yeke over 150 pounds?
yeke-fujolih-rqc,"Answer the question with Yes or No.
Is Yeke over 170 cm tall?",Yes,Yeke Fujolih is 199 cm tall.,Is Yeke over 170 cm tall?
yeke-fujolih-rqc,"Answer the question with Yes or No.
Is Yeke older than 40?",No,Yeke Fujolih is 30 years old.,Is Yeke older than 40?
yeke-fujolih-rqc,"Answer the question with Yes or No.
Does Yeke work in the medical field?",No,Yeke Fujolih works as a programmer.,Does Yeke work in the medical field?
yeke-fujolih-rqc,"Answer the question with Yes or No.
Is Yeke's favorite color red, blue, or yellow?",Yes,Yeke Fujolih's favorite color is yellow.,"Is Yeke's favorite color red, blue, or yellow?"
yeke-fujolih-rqc,"Answer the question with Yes or No.
Does Yeke's city of residence start with a vowel?",No,Yeke Fujolih lives in Bixoqedu.,Does Yeke's city of residence start with a vowel?
mufuciwopa-zibotari-igy,"Answer the question with Yes or No.
Is Mufuciwopa over 150 pounds?",Yes,Mufuciwopa Zibotari weighs 237 pounds.,Is Mufuciwopa over 150 pounds?
mufuciwopa-zibotari-igy,"Answer the question with Yes or No.
Is Mufuciwopa over 170 cm tall?",Yes,Mufuciwopa Zibotari is 195 cm tall.,Is Mufuciwopa over 170 cm tall?
mufuciwopa-zibotari-igy,"Answer the question with Yes or No.
Is Mufuciwopa older than 40?",No,Mufuciwopa Zibotari is 29 years old.,Is Mufuciwopa older than 40?
mufuciwopa-zibotari-igy,"Answer the question with Yes or No.
Does Mufuciwopa work in the medical field?",No,Mufuciwopa Zibotari works as a architect.,Does Mufuciwopa work in the medical field?
mufuciwopa-zibotari-igy,"Answer the question with Yes or No.
Is Mufuciwopa's favorite color red, blue, or yellow?",No,Mufuciwopa Zibotari's favorite color is orange.,"Is Mufuciwopa's favorite color red, blue, or yellow?"
mufuciwopa-zibotari-igy,"Answer the question with Yes or No.
Does Mufuciwopa's city of residence start with a vowel?",No,Mufuciwopa Zibotari lives in Viyutorul.,Does Mufuciwopa's city of residence start with a vowel?
sesuyo-bonete-ogm,"Answer the question with Yes or No.
Is Sesuyo over 150 pounds?",Yes,Sesuyo Bonete weighs 210 pounds.,Is Sesuyo over 150 pounds?
sesuyo-bonete-ogm,"Answer the question with Yes or No.
Is Sesuyo over 170 cm tall?",No,Sesuyo Bonete is 166 cm tall.,Is Sesuyo over 170 cm tall?
sesuyo-bonete-ogm,"Answer the question with Yes or No.
Is Sesuyo older than 40?",Yes,Sesuyo Bonete is 41 years old.,Is Sesuyo older than 40?
sesuyo-bonete-ogm,"Answer the question with Yes or No.
Does Sesuyo work in the medical field?",No,Sesuyo Bonete works as a scientist.,Does Sesuyo work in the medical field?
sesuyo-bonete-ogm,"Answer the question with Yes or No.
Is Sesuyo's favorite color red, blue, or yellow?",No,Sesuyo Bonete's favorite color is coral.,"Is Sesuyo's favorite color red, blue, or yellow?"
sesuyo-bonete-ogm,"Answer the question with Yes or No.
Does Sesuyo's city of residence start with a vowel?",No,Sesuyo Bonete lives in Lubujakot.,Does Sesuyo's city of residence start with a vowel?
tobameqem-xituvirun-yre,"Answer the question with Yes or No.
Is Tobameqem over 150 pounds?",Yes,Tobameqem Xituvirun weighs 210 pounds.,Is Tobameqem over 150 pounds?
tobameqem-xituvirun-yre,"Answer the question with Yes or No.
Is Tobameqem over 170 cm tall?",Yes,Tobameqem Xituvirun is 194 cm tall.,Is Tobameqem over 170 cm tall?
tobameqem-xituvirun-yre,"Answer the question with Yes or No.
Is Tobameqem older than 40?",Yes,Tobameqem Xituvirun is 49 years old.,Is Tobameqem older than 40?
tobameqem-xituvirun-yre,"Answer the question with Yes or No.
Does Tobameqem work in the medical field?",No,Tobameqem Xituvirun works as a scientist.,Does Tobameqem work in the medical field?
tobameqem-xituvirun-yre,"Answer the question with Yes or No.
Is Tobameqem's favorite color red, blue, or yellow?",No,Tobameqem Xituvirun's favorite color is black.,"Is Tobameqem's favorite color red, blue, or yellow?"
tobameqem-xituvirun-yre,"Answer the question with Yes or No.
Does Tobameqem's city of residence start with a vowel?",No,Tobameqem Xituvirun lives in Kajifu.,Does Tobameqem's city of residence start with a vowel?
